status;HolderAddress;Balance V1;Post LP drain movements;V2 Migration Qty;comment;;0x7b1ab81f951b9fb609de4c162e0dedecdd6cc54f; 13 846,00   ;#N/A
transfer to 249F;0xbaa6913d823314da114920475086a8dc66513427; 3 954 906,09 ;; 3 954 906,09 ;ok;;;;
token not transferred;0xee5bf96d2049565dae03039538dbc1a1f9a866e3; 3 899 336,04 ;; 3 899 336,04 ;ok;;;;
transfer to 249F;0x5e4454277ff3b0d271687d3104c775ef63517744; 3 870 000,00 ;; 3 870 000,00 ;ok;;;;
transfer to 249F;0x38c6618c9a623dbfdab5d39dd10c6309c98b1443; 3 756 172,26 ;; 3 756 172,26 ;ok;;;;
transfer to 249F;0x31fb68a2f3cd809c730dc37bdbc5da2618e46e89; 3 662 393,84 ;; 3 662 393,84 ;ok;;;;
token not transferred;0xe83d24ced9b69ef08c19c6c18e6da6db4a204ba3; 3 638 374,43 ;; 3 638 374,43 ;ok;;;;
transfer to 249F;0x528e93bbf6608e12000de7a2f32a2dc33f53cf23; 3 545 465,67 ;; 3 545 465,67 ;ok;;;;
token not transferred;0xf791bf38beebbe688358914b11601f2ef06cd0ea; 3 495 488,97 ;; 3 495 488,97 ;ok;;;;
token not transferred;0xfbe9fe88c9d7e4c4a926b1710e637193f7872406; 3 376 588,85 ;; 3 376 588,85 ;ok;;;;
transfer to 249F;0x2825b0ea4094baa4d63319cccc34f2ad8f8f9446; 3 375 077,74 ;-3 375 077,74 ; -   ;post LP drain after /10 of the price;;;;
token not transferred;0xc70b668c72574621d17241f0bec5a47c0ba0557b; 3 350 537,11 ;-3 350 537,11 ; -   ;post LP drain after /10 of the price;;;;
transfer to 249F;0x71f2c990b3b992eae54f2f1048b495179eba3675; 3 301 119,46 ;-3 301 119,46 ; -   ;post LP drain after /10 of the price;;;;
transfer to 249F;0xbb39d5e93c3d85651ad687961cfe898e0029d2bc; 3 238 445,00 ;; 3 238 445,00 ;ok;;;;
transfer to 249F;0x0a7db6b68d9036ca37604d9839b63feb82c33a3e; 3 183 709,42 ;; 3 183 709,42 ;ok;;;;
transfer to 249F;0x02f67d405a3ed70398974429f65b0a53c2f55403; 3 167 603,60 ;; 3 167 603,60 ;ok;;;;
token not transferred;0x4c8cb1579da7f1befcb6afe0c57dac54e6d79016; 3 162 811,00 ;; 3 162 811,00 ;ok;;;;
transfer to 249F;0xfb8040ad050f48c10565ead98bd76ce20df69a96; 3 141 791,67 ;; 3 141 791,67 ;ok;;;;
transfer to 249F;0x4e52c07a9a699e68694c2c34a8d8cb6cf5401769; 3 000 002,86 ;; 3 000 002,86 ;ok;;;;
token not transferred;0xe36f1aba90ad5d98e7a39bc70ec5b629f87a34cd; 2 831 894,01 ;; 2 831 894,01 ;ok;;;;
transfer to 249F;0xec8ca1021b7a96b40faf7c27e44665e3a0283218; 2 812 784,04 ;; 2 812 784,04 ;ok;;;;
token not transferred;0xb79c2944cfd82178bfcc403c8143124b98098634; 2 672 017,42 ;; 2 672 017,42 ;ok;;;;
transfer to 249F;0xfb6bd2fe2a8bee9518fc3510f15188320fcdbafc; 2 576 096,37 ;; 2 576 096,37 ;ok;;;;
token not transferred;0xac6fe85c7233b6cee34b4f4f9e8c8bdfabed5e40; 2 496 115,60 ;; 2 496 115,60 ;ok;;;;
transfer to 249F;0x74c59dfcc8d58b5669b8392bc166cea749000b9f; 2 403 740,97 ;; 2 403 740,97 ;ok;;;;
transfer to 249F;0xe75252d966b1c9265e879b0f1838efa3b97ba1c3; 2 312 186,47 ;; 2 312 186,47 ;ok;;;;
token not transferred;0x662b0bc7754709f7a1e48aed139a27f30c6341b3; 2 309 608,37 ;; 2 309 608,37 ;ok;;;;
token not transferred;0x4ec3b16b6d57ab5650093f028009fc956390db88; 2 277 074,11 ;-2 277 074,11 ; -   ;post LP drain after /10 of the price;;;;
transfer to 249F;0x90600e1682ebee99db2adb9448c3cc723152858c; 2 267 975,97 ;; 2 267 975,97 ;ok;;;;
token not transferred;0xe16e5e788586a2894bf56cd60ddecdd00bfb8175; 2 242 851,19 ;; 2 242 851,19 ;ok;;;;
transfer to 249F;0x855c76f373a98819dafc1c68e930a7e33f99eb7d; 2 225 437,21 ;; 2 225 437,21 ;ok;;;;
transfer to 249F;0x2f10638d6e02f455039f0d3756df3ff7b8b0673c; 2 221 004,00 ;; 2 221 004,00 ;ok;;;;
token not transferred;0xd970eb6ae518736064242b5b395031dabc5337de; 2 191 503,34 ;; 2 191 503,34 ;ok;;;;
token not transferred;0x5f23907c16a205470bd9e549da5d4cf07122e575; 2 177 275,14 ;; 2 177 275,14 ;ok;;;;
transfer to 249F;0xf64b38825cc9c303eecff1836674012007841fa7; 2 145 355,88 ;; 2 145 355,88 ;ok;;;;
transfer to 249F;0x06573430ebd1e48bb5f528763c81cd455ea98885; 2 099 504,85 ;-2 099 504,85 ; -   ;post LP drain after /10 of the price;;;;
token not transferred;0xf1259f438a7760b5837e27f235554fbc635544e3; 2 045 884,96 ;; 2 045 884,96 ;ok;;;;
transfer to 249F;0x7d0f2c719db607179977c1a470a33237b23b8ee0; 2 016 833,16 ;; 2 016 833,16 ;ok;;;;
token not transferred;0xa6d1d3d3d4b8defbec216b2b0e760866df4ba8a9; 1 963 410,28 ;-1 752 680,00 ; 210 730,28 ;post LP drain after /10 of the price;;;;
transfer to 249F;0xceed6f5d4834402a1b8613bc5958cc9f3cc2a37b; 1 956 459,00 ;; 1 956 459,00 ;ok;;;;
transfer to 249F;0xbe0e16bd0d82555daa9b7fc3645a8df564c11990; 1 951 873,00 ;; 1 951 873,00 ;ok;;;;
transfer to 249F;0xb0eab1f6a0892cd829014250fac2019c3d0b9765; 1 920 593,28 ;; 1 920 593,28 ;ok;;;;
transfer to 249F;0x4f733f6cf1c6b4db6a17a444f76a5f5fa6ede547; 1 895 614,06 ;; 1 895 614,06 ;ok;;;;
token not transferred;0x957d12f43574049459bd99a5de209a9ce695d522; 1 769 092,21 ;-1 769 092,21 ; -   ;post LP drain after /10 of the price;;;;
transfer to 249F;0x5951d840f7d2b075539f927b6ce67efafdd82046; 1 755 969,69 ;; 1 755 969,69 ;ok;;;;
token not transferred;0xe6f9f8fdf69f40363c257422dd2767d0c3472650; 1 750 469,80 ;-1 750 469,80 ; -   ;post LP drain after /10 of the price;;;;
token not transferred;0xac406a09cb7ee1583876f217615d612e26292f5d; 1 737 394,36 ;; 1 737 394,36 ;ok;;;;
transfer to 249F;0xc0b38f531b6c5c9f5d8597b6193d8b3b123211f6; 1 736 830,20 ;; 1 736 830,20 ;ok;;;;
token not transferred;0x7fb1c7e48b6e3c459754e1c8bf2395a29ea9eb3c; 1 713 486,24 ;; 1 713 486,24 ;ok;;;;
transfer to 249F;0x13bd53d40c8ea5cf2045397073124a4475601be2; 1 705 249,28 ;; 1 705 249,28 ;ok;;;;
